What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;Chocolate makes you.....;When is your birthday (date)?;Number of neighbors sitting around you?;Did you stand up?;What is your stress level (0-100)?;You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ;Give a random number;Time you went to be Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?
Computational Science;no;unknown;mu;ja;female;fat;05-08-1998;0;no;0;4;227;22:30;Good weather;Sporting
Quantitative Risk Management;no;0;mu;nee;male;unknown;1996;2;no;85;25;65;23:05;chill;coffee
MSc Computational Science;no;0;mu;ja;female;neither;12th June;4;no;50;10;3;10pm;Waking up early and preparing for the day by praying;Using the early morning time to study
MSc Finance - QRM ;no;0;mu;nee;female;neither;19-06-1994;0;no;10;99;2;23;eating good food;spending time with friends
BA;yes;0;mu;ja;male;neither;29-09-1993;0;no;60;80;7;22:00;Sun is shining;Intimate contact with friends and family
Business Analytics;yes;1;mu;ja;male;fat;11-09;0;no;0;10;6;23:20;sun;full agenda
DHPQRM;no;0;mu;nee;female;neither;27.08.1996;0;no;71;10;4;0:35;coffee chat with a friend;jogging in sunny weather
Computer Science master;no;0;mu;ja;male;I have no idea what you are talking about;15/03/1992;>100;no;10;the amount of money you want to distribute/the number of people;256;00:35;Enough sleep;No rain
BA;yes;0;mu;ja;female;neither;31-08-1998;2;no;0;50;3;23:30;Friends;Being productive
Master Business Administration: Digital Business and Innovation;no;0;sigma;nee;male;fat;07-11-1995;1;no;22;Based on 500 students: €0,20;8;23;Done a workout;Wake up early
Econometrics;no;0;mu;nee;female;fat;03/08;0;no;70;50;8;23:00;Meditation;Good Food
Artificial Intelligence;yes;1;mu;ja;male;neither;12 february;0;no;0;10;7;01:00;laid back;sunny
Business Analytics;yes;0;sigma;ja;male;I have no idea what you are talking about;8-6-1998;5;unknown;20;0;456123;22:00;Getting an algorithm to work in 1 go;Artists releasing new amazing song
Artificial Intelligence;yes;0;mu;nee;male;neither;17.02.1996;0;no;20;5;728;23:30;Food;Sleep
Artificial Intelligence;no;0;mu;nee;male;fat;04-10-1996;0;no;15;10;7;23:30;Good breakfast;Good dinner
Bioinformatics and Systems Biology MSc;yes;0;mu;nee;male;fat;04/07/94;1;no;30;5;6;0130;Sunshine;Warmth
qrm;no;0;mu;nee;unknown;neither;1992;2;no;30;1;1;11:30;having slept well;Having worked hard
Finance: Quantitative Risk Management;no;0;mu;nee;male;neither;16-02;0;no;17;0;2;00:02;Being productive;Sport
Finance Honours in Quantitative Risk Management;no;0;mu;nee;male;neither;19051997;0;no;80;85;9;2AM;Coffee;Sugar
AI;yes;1;mu;ja;male;slim;29-02-1996;0;no;65;0;2;1:15;productivity;exercise
Master Computational Science;yes;1;mu;ja;female;I have no idea what you are talking about;15-04-1997;1;no;25;3;8;00:41;Sunshine/ Nice weather in general;Seeing friends/family
MSc. Econometrics and Operations Research;no;1;sigma;nee;female;fat;18 november;0;no;70;0;47;23:30;Learned new things;Healty and nice food
Artificial Intelligence ;yes;1;mu;ja;male;neither;28-08-1996;0;no;70;15;666;00:00;Sunshine;Music
