PassengerId,Survived,Pclass,Title,Surname,Sex,Age,SibSp,Parch,FamSize,isAlone,Fare,TktNum,Embarked,Deck,CabinNumber,Side,AgeGroup,FareGroup
0,0,3,1,Braund,0,22.0,1,0,1.0,1.0,7.25,21171,3.0,-1,-1,-1,1,0
1,1,1,2,Cumings,1,38.0,1,0,2.0,0.0,71.2833,17599,1.0,2,85,1,3,3
2,1,3,2,Heikkinen,1,26.0,0,0,1.0,1.0,7.925,3101282,3.0,-1,-1,-1,2,1
3,1,1,2,Futrelle,1,35.0,1,0,1.0,1.0,53.1,113803,3.0,2,123,1,3,3
4,0,3,1,Allen,0,35.0,0,0,3.0,0.0,8.05,373450,3.0,-1,-1,-1,3,1
5,0,3,1,Moran,0,25.0,0,0,1.0,1.0,8.4583,330877,2.0,-1,-1,-1,2,1
6,0,1,1,McCarthy,0,54.0,0,0,1.0,1.0,51.8625,17463,3.0,4,46,2,3,3
7,0,3,1,Palsson,0,2.0,3,1,3.0,0.0,21.075,349909,3.0,-1,-1,-1,0,2
8,1,3,2,Johnson,1,27.0,0,2,1.0,1.0,11.1333,347742,3.0,-1,-1,-1,2,1
9,1,2,2,Nasser,1,14.0,1,0,3.0,0.0,30.0708,237736,1.0,-1,-1,-1,1,2
10,1,3,2,Sandstrom,1,4.0,1,1,1.0,1.0,16.7,9549,3.0,6,6,2,0,2
11,1,1,2,Bonnell,1,58.0,0,0,1.0,1.0,26.55,113783,3.0,2,103,1,3,2
12,0,3,1,Saundercock,0,20.0,0,0,2.0,0.0,8.05,2151,3.0,-1,-1,-1,1,1
13,0,3,1,Andersson,0,39.0,1,5,2.0,0.0,31.275,347082,3.0,-1,-1,-1,3,3
14,0,3,2,Vestrom,1,14.0,0,0,2.0,0.0,7.8542,350406,3.0,-1,-1,-1,1,0
15,1,2,2,Hewlett,1,55.0,0,0,2.0,0.0,16.0,248706,3.0,-1,-1,-1,3,2
16,0,3,1,Rice,0,2.0,4,1,1.0,1.0,29.125,382652,2.0,-1,-1,-1,0,2
17,1,2,1,Williams,0,30.0,0,0,1.0,1.0,13.0,244373,3.0,-1,-1,-1,2,1
18,0,3,2,Vander Planke,1,31.0,1,0,2.0,0.0,18.0,345763,3.0,-1,-1,-1,2,2
19,1,3,2,Masselmani,1,21.5,0,0,1.0,1.0,7.225,2649,1.0,-1,-1,-1,1,0
20,0,2,1,Fynney,0,35.0,0,0,2.0,0.0,26.0,239865,3.0,-1,-1,-1,3,2
21,1,2,1,Beesley,0,34.0,0,0,2.0,0.0,13.0,248698,3.0,3,56,2,2,1
22,1,3,2,McGowan,1,15.0,0,0,1.0,1.0,8.0292,330923,2.0,-1,-1,-1,1,1
23,1,1,1,Sloper,0,28.0,0,0,2.0,0.0,35.5,113788,3.0,0,6,2,2,3
24,0,3,2,Palsson,1,8.0,3,1,5.0,0.0,21.075,349909,3.0,-1,-1,-1,0,2
25,1,3,2,Asplund,1,38.0,1,5,2.0,0.0,31.3875,347077,3.0,-1,-1,-1,3,3
26,0,3,1,Emir,0,25.0,0,0,2.0,0.0,7.225,2631,1.0,-1,-1,-1,2,0
27,0,1,1,Fortune,0,19.0,3,2,1.0,1.0,263.0,19950,3.0,"[2, 2, 2]","[23, 25, 27]","[1, 1, 1]",1,3
28,1,3,2,O'Dwyer,1,21.5,0,0,1.0,1.0,7.8792,330959,2.0,-1,-1,-1,1,0
